no,code,name,type
0,000001,平安银行,1
1,000002,万  科Ａ,1
2,000004,国农科技,1
3,000005,世纪星源,1
4,000006,深振业Ａ,1
5,000007,全新好,1
6,000008,神州高铁,1
7,000009,中国宝安,1
8,000010,美丽生态,1
9,000011,深物业A,1
10,000012,南  玻Ａ,1
11,000014,沙河股份,1
12,000016,深康佳Ａ,1
13,000017,深中华A,1
14,000018,神州长城,1
15,000019,深深宝Ａ,1
16,000020,深华发Ａ,1
17,000021,深科技,1
18,000022,深赤湾Ａ,1
19,000023,深天地Ａ,1
20,000025,特  力Ａ,1
21,000026,飞亚达Ａ,1
22,000027,深圳能源,1
23,000028,国药一致,1
24,000029,深深房Ａ,1
25,000030,富奥股份,1
26,000031,中粮地产,1
27,000032,深桑达Ａ,1
28,000034,神州数码,1
29,000035,中国天楹,1
30,000036,华联控股,1
31,000037,深南电A,1
32,000038,深大通,1
33,000039,中集集团,1
34,000040,东旭蓝天,1
35,000042,中洲控股,1
36,000043,中航善达,1
37,000045,深纺织Ａ,1
38,000046,泛海控股,1
39,000048,康达尔,1
40,000049,德赛电池,1
41,000050,深天马Ａ,1
42,000055,方大集团,1
43,000056,皇庭国际,1
44,000058,深 赛 格,1
45,000059,华锦股份,1
46,000060,中金岭南,1
47,000061,农 产 品,1
48,000062,深圳华强,1
49,000063,中兴通讯,1
50,000065,北方国际,1
51,000066,中国长城,1
52,000068,华控赛格,1
53,000069,华侨城Ａ,1
54,000070,特发信息,1
55,000078,海王生物,1
56,000088,盐 田 港,1
57,000089,深圳机场,1
58,000090,天健集团,1
59,000096,广聚能源,1
60,000099,中信海直,1
61,000100,TCL 集团,1
62,000150,宜华健康,1
63,000151,中成股份,1
64,000153,丰原药业,1
65,000155,川化股份,1
66,000156,华数传媒,1
67,000157,中联重科,1
68,000158,常山北明,1
69,000159,国际实业,1
70,000166,申万宏源,1
71,000301,东方市场,1
72,000333,美的集团,1
73,000338,潍柴动力,1
74,000400,许继电气,1
75,000401,冀东水泥,1
76,000402,金 融 街,1
77,000403,ST生化,1
78,000404,华意压缩,1
79,000407,胜利股份,1
80,000408,藏格控股,1
81,000409,山东地矿,1
82,000410,沈阳机床,1
83,000411,英特集团,1
84,000413,东旭光电,1
85,000415,渤海金控,1
86,000416,民生控股,1
87,000417,合肥百货,1
88,000418,小天鹅Ａ,1
89,000419,通程控股,1
90,000420,吉林化纤,1
91,000421,南京公用,1
92,000422,*ST宜化,1
93,000423,东阿阿胶,1
94,000425,徐工机械,1
95,000426,兴业矿业,1
96,000428,华天酒店,1
97,000429,粤高速Ａ,1
98,000430,张家界,1
99,000488,晨鸣纸业,1
100,000498,山东路桥,1
101,000501,鄂武商Ａ,1
102,000502,绿景控股,1
103,000503,国新健康,1
104,000504,南华生物,1
105,000505,京粮控股,1
106,000506,中润资源,1
107,000507,珠海港,1
108,000509,华塑控股,1
109,000510,金路集团,1
110,000511,烯碳退,1
111,000513,丽珠集团,1
112,000514,渝 开 发,1
113,000516,国际医学,1
114,000517,荣安地产,1
115,000518,四环生物,1
116,000519,中兵红箭,1
117,000520,长航凤凰,1
118,000521,美菱电器,1
119,000523,广州浪奇,1
120,000524,岭南控股,1
121,000525,红 太 阳,1
